date,region,product,revenue,cost,profit,units_sold,sales_rep
2023-06-16,East,Analytics Add-on,9842,4945,4897,8,Grace Patel
2023-07-21,South,Analytics Add-on,9381,5780,3601,11,David Kim
2023-07-31,East,Data Module,10410,5932,4478,9,Frank Chen
2023-08-31,West,Analytics Add-on,7732,4982,2750,9,Henry Brown
2023-10-01,North,Pro License,15220,6891,8329,23,David Kim
2023-10-30,North,Starter Pack,5316,2521,2795,6,Alice Johnson
2023-11-25,Central,Analytics Add-on,6388,3617,2771,5,David Kim
2024-01-15,Central,Pro License,21822,13045,8777,27,Alice Johnson
2024-02-12,North,Enterprise Suite,47577,24273,23304,62,David Kim
2024-03-05,North,Enterprise Suite,60777,30831,29946,73,Frank Chen
2024-04-08,North,Analytics Add-on,8770,4920,3850,11,David Kim
2024-05-13,East,Data Module,13062,6972,6090,23,David Kim
2024-05-22,Central,Pro License,24417,15543,8874,29,Henry Brown
2024-07-01,South,Data Module,10036,4552,5484,16,Grace Patel
2024-08-01,South,Enterprise Suite,34233,20860,13373,36,Bob Martinez
2024-08-27,West,Starter Pack,3909,2437,1472,11,Grace Patel
2024-10-01,West,Data Module,9488,4979,4509,15,Alice Johnson
2024-10-20,North,Enterprise Suite,27289,14757,12532,40,Grace Patel
2024-12-04,East,Enterprise Suite,36309,21756,14553,50,David Kim
2022-01-27,South,Pro License,16186,9208,6978,21,Henry Brown
2022-02-02,South,Data Module,16670,8536,8134,20,Carol Lee
2022-03-27,East,Data Module,14582,7392,7190,17,David Kim
2022-04-26,North,Data Module,11084,5034,6050,13,Bob Martinez
2022-05-06,North,Analytics Add-on,7933,4507,3426,12,Alice Johnson
2022-06-04,North,Pro License,18419,9459,8960,23,Carol Lee
2022-07-20,West,Data Module,9801,4495,5306,11,Henry Brown
2022-08-23,South,Data Module,14208,8016,6192,18,Alice Johnson
2022-09-05,South,Data Module,8197,5055,3142,11,Alice Johnson
2022-09-29,West,Starter Pack,5071,2382,2689,9,Henry Brown
2022-11-19,East,Data Module,9101,5555,3546,12,Henry Brown
2022-12-22,South,Pro License,18141,10989,7152,22,Emma Wilson
2023-01-19,South,Enterprise Suite,49404,30705,18699,54,Alice Johnson
2023-02-10,East,Enterprise Suite,49246,28459,20787,62,Alice Johnson
2023-02-26,Central,Data Module,10396,5544,4852,18,Carol Lee
2023-03-30,North,Analytics Add-on,7359,3850,3509,8,Bob Martinez
2023-05-08,South,Enterprise Suite,41267,21020,20247,55,Bob Martinez
2023-06-05,South,Data Module,13048,7126,5922,19,Bob Martinez
2023-07-07,Central,Pro License,21358,12398,8960,29,Alice Johnson
2023-08-08,Central,Enterprise Suite,37152,21421,15731,44,Grace Patel
2023-08-28,Central,Analytics Add-on,5546,3266,2280,6,Frank Chen
2023-10-13,East,Pro License,18824,8828,9996,28,Frank Chen
2023-11-08,South,Starter Pack,3790,1809,1981,1,Grace Patel
2023-11-24,South,Starter Pack,4659,2649,2010,7,Henry Brown
2024-01-18,East,Enterprise Suite,41532,20794,20738,48,Alice Johnson
2024-02-12,West,Analytics Add-on,8233,4719,3514,8,Bob Martinez
2024-02-23,North,Analytics Add-on,9769,5306,4463,13,David Kim
2024-04-05,Central,Starter Pack,6273,3825,2448,12,Carol Lee
2024-04-26,East,Enterprise Suite,46855,22206,24649,53,David Kim
2024-06-05,East,Starter Pack,6717,3906,2811,10,Carol Lee
2024-07-14,West,Analytics Add-on,8376,4328,4048,11,Emma Wilson
2024-08-09,Central,Analytics Add-on,7242,3650,3592,6,Alice Johnson
2024-09-01,Central,Starter Pack,4549,2181,2368,8,Bob Martinez
2024-09-25,South,Starter Pack,3801,2001,1800,9,Bob Martinez
2024-10-21,North,Analytics Add-on,5974,3620,2354,10,Carol Lee
2024-12-01,East,Starter Pack,5509,3566,1943,9,David Kim
2022-01-24,East,Pro License,20846,12926,7920,25,Emma Wilson
2022-02-26,Central,Data Module,9952,5649,4303,11,Emma Wilson
2022-03-17,North,Enterprise Suite,60589,37267,23322,71,Grace Patel
2022-04-01,East,Enterprise Suite,40037,21558,18479,51,Alice Johnson
2022-05-15,East,Pro License,20095,9487,10608,18,Emma Wilson
2022-06-25,South,Data Module,12097,6130,5967,16,Grace Patel
2022-07-01,Central,Enterprise Suite,42558,19920,22638,53,Bob Martinez
2022-08-01,North,Pro License,17092,8514,8578,20,Alice Johnson
2022-09-21,East,Analytics Add-on,7784,4920,2864,11,Carol Lee
2022-10-19,West,Pro License,14943,6740,8203,21,Alice Johnson
2022-11-19,East,Starter Pack,4017,1999,2018,1,Alice Johnson
2022-12-13,East,Pro License,16168,9865,6303,19,David Kim
2022-12-30,North,Starter Pack,6398,3951,2447,7,Grace Patel
2023-02-16,Central,Pro License,23992,13819,10173,27,David Kim
2023-03-09,South,Pro License,16702,8160,8542,19,Grace Patel
2023-03-31,North,Pro License,22869,14774,8095,24,Frank Chen
2023-05-10,West,Pro License,16540,7583,8957,20,Emma Wilson
2023-05-27,South,Enterprise Suite,36016,17454,18562,43,Grace Patel
2023-07-16,North,Data Module,9174,4969,4205,12,David Kim
2023-07-30,South,Data Module,10759,6073,4686,14,Frank Chen
2023-08-30,East,Pro License,14736,8334,6402,21,David Kim
2023-10-19,North,Pro License,14766,9422,5344,19,Grace Patel
2023-11-04,East,Starter Pack,5375,2928,2447,12,Bob Martinez
2023-12-06,East,Starter Pack,5557,2809,2748,10,Grace Patel
2024-01-08,Central,Starter Pack,6187,3569,2618,8,Alice Johnson
2024-02-01,North,Starter Pack,5526,2727,2799,1,Carol Lee
2024-03-07,Central,Starter Pack,5946,3173,2773,13,Alice Johnson
2024-03-29,North,Analytics Add-on,10527,5942,4585,14,Grace Patel
2024-05-06,East,Starter Pack,5677,3295,2382,8,Grace Patel
2024-06-08,Central,Analytics Add-on,7592,4250,3342,6,Bob Martinez
2024-07-03,West,Analytics Add-on,10517,5811,4706,17,David Kim
2024-08-05,East,Enterprise Suite,39772,25223,14549,49,Grace Patel
2024-09-07,North,Analytics Add-on,5864,3007,2857,4,David Kim
2024-10-01,East,Data Module,11639,7197,4442,15,Bob Martinez
2024-10-19,East,Analytics Add-on,7505,3636,3869,12,Frank Chen
2024-11-23,North,Starter Pack,3576,1619,1957,1,Emma Wilson
2022-01-20,West,Starter Pack,7037,3382,3655,6,Grace Patel
2022-02-23,East,Analytics Add-on,7236,3784,3452,7,Carol Lee
2022-03-04,South,Data Module,14582,7468,7114,19,Grace Patel
2022-04-28,South,Analytics Add-on,7166,3780,3386,9,Emma Wilson
2022-05-10,West,Analytics Add-on,9548,5299,4249,13,Alice Johnson
2022-05-31,East,Starter Pack,5344,3298,2046,11,David Kim
2022-07-26,West,Analytics Add-on,6334,4104,2230,7,Frank Chen
2022-08-14,West,Data Module,12968,6853,6115,20,Henry Brown
2022-09-21,South,Analytics Add-on,7109,3866,3243,7,Henry Brown
2022-10-19,South,Enterprise Suite,32801,20711,12090,42,Emma Wilson
2022-11-14,Central,Analytics Add-on,8164,4474,3690,13,Frank Chen
2022-12-03,North,Pro License,11535,5384,6151,9,Emma Wilson
2023-01-19,South,Pro License,20018,11607,8411,24,Carol Lee
2023-02-18,North,Enterprise Suite,49771,22975,26796,59,David Kim
2023-03-17,West,Analytics Add-on,9995,6185,3810,14,Bob Martinez
2023-04-11,West,Data Module,14092,8742,5350,17,David Kim
2023-05-08,West,Data Module,11543,7157,4386,10,Grace Patel
2023-06-20,South,Pro License,15600,8263,7337,20,Alice Johnson
2023-07-12,North,Data Module,9722,5033,4689,14,David Kim
2023-08-11,South,Analytics Add-on,6769,4301,2468,10,Henry Brown
2023-09-04,North,Analytics Add-on,5062,2285,2777,7,David Kim
2023-10-01,North,Data Module,8821,5087,3734,6,Carol Lee
2023-11-14,West,Analytics Add-on,8897,5358,3539,12,Frank Chen
2023-12-09,West,Analytics Add-on,5108,3282,1826,5,Grace Patel
2024-01-03,Central,Data Module,14185,8461,5724,14,Carol Lee
2024-02-14,West,Data Module,12051,6999,5052,19,Emma Wilson
2024-02-23,South,Starter Pack,6419,3830,2589,3,Henry Brown
2024-04-17,South,Starter Pack,5157,3122,2035,4,Henry Brown
2024-05-14,North,Starter Pack,6111,3945,2166,9,David Kim
2024-06-16,East,Starter Pack,5023,2345,2678,4,Frank Chen
2024-07-04,Central,Enterprise Suite,45277,27823,17454,57,Carol Lee
2024-08-10,South,Pro License,11110,5107,6003,10,Grace Patel
2024-09-13,South,Pro License,11455,6927,4528,11,Bob Martinez
2024-10-05,West,Data Module,8132,4961,3171,10,Frank Chen
2024-11-11,Central,Data Module,13712,8523,5189,17,Grace Patel
2024-11-22,North,Pro License,17376,10172,7204,23,Grace Patel
2022-01-22,West,Analytics Add-on,8106,4736,3370,7,Alice Johnson
2022-02-11,Central,Data Module,9215,4788,4427,19,Henry Brown
2022-03-27,North,Starter Pack,4727,2502,2225,5,Emma Wilson
2022-04-09,West,Data Module,13216,6443,6773,18,David Kim
2022-05-19,West,Pro License,15315,9364,5951,25,Emma Wilson
2022-06-09,West,Data Module,12309,6543,5766,14,Alice Johnson
2022-07-03,West,Starter Pack,3659,1933,1726,3,Grace Patel
2022-08-15,South,Data Module,13767,6565,7202,22,Carol Lee
2022-08-31,Central,Analytics Add-on,7665,3476,4189,6,Alice Johnson
2022-09-29,West,Analytics Add-on,7012,3636,3376,7,Alice Johnson
2022-11-21,North,Data Module,11068,6177,4891,12,Carol Lee
2022-12-23,West,Pro License,17779,8836,8943,17,Alice Johnson
2023-01-20,East,Data Module,11959,7157,4802,17,Frank Chen
2023-02-20,South,Data Module,14049,7163,6886,13,Frank Chen
2023-03-05,East,Data Module,14428,9015,5413,19,Emma Wilson
2023-04-05,West,Starter Pack,6561,3991,2570,7,Bob Martinez
2023-05-13,West,Enterprise Suite,52594,34130,18464,64,Alice Johnson
2023-06-07,East,Pro License,16824,8193,8631,23,Bob Martinez
2023-07-03,North,Enterprise Suite,38527,24698,13829,49,David Kim
2023-07-27,South,Enterprise Suite,39966,18271,21695,43,Carol Lee
